Array,CUID,CTD_CruiseName,CTD_CruiseLeg,CTDcast,CTD_Date,CTD_lat,CTD_lon,CTD_site_desc,Notes,filepath_primary,CTD_rawdata_filepath,O2_filepath,salt_filepath
Global_Argentine_Basin,AT-26-30,GA1,,1,2015-03-11T00:19:00,-48.10065,-56.7034,Transit,"CTD cast to calibrate 1 SAMI and 2 bio-packages; water samples for Salinity (S), Oxygens (02), pH, and chlorophyll (chl.)",/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-01_AT-26-30_2015-03-08/Ship Data/,at26-30/ctd/process/at2630001.cnv,water_samples/001OXY.xlsx,water_samples/001.SAL
Global_Argentine_Basin,AT-26-30,GA1,,2,2015-03-11T16:08:00,-46.91447,-53.31428,Transit,"Cal/Val for 8 CTMO's for HYPM, FLMA and FLMB; tested two dual acoustic releases; water samples for S",/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-01_AT-26-30_2015-03-08/Ship Data/,at26-30/ctd/process/at2630002.cnv,no_samples,water_samples/002.SAL
Global_Argentine_Basin,AT-26-30,GA1,,3,2015-03-12T18:12:00,-44.98485,-48.2782,Transit,Cal/Val for 25 CTMO's for FLM(A/B) and testing of two single acoustic releases; water samples for S,/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-01_AT-26-30_2015-03-08/Ship Data/,at26-30/ctd/process/at2630003.cnv,no_samples,water_samples/003.SAL
Global_Argentine_Basin,AT-26-30,GA1,,4,2015-03-15T22:58:00,-42.91068,-42.51615,,"CTD cast with altimeter to verify echosounder depth and get harmonic sound speed, and testing of one single and two dual acoustic releases; no water samples ",/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-01_AT-26-30_2015-03-08/Ship Data/,at26-30/ctd/process/at2630004.cnv,no_samples,no_samples
Global_Argentine_Basin,AT-26-30,GA1,,5,2015-03-17T00:28:00,-42.63388,-42.50035,Gliders,"CTD cast in sync with gliders and tested one single and one double acoustic releases; water samples for S, O2, and chl.",/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-01_AT-26-30_2015-03-08/Ship Data/,at26-30/ctd/process/at2630005.cnv,water_samples/005OXY.xlsx,water_samples/005.SAL
Global_Argentine_Basin,AT-26-30,GA1,,6,2015-03-17T23:08:00,-42.95567,-42.50403,GA02HYPM,CTD cast in the vicinity of HYPM for profiler data validation and testing of one single and two double acoustic releases; water samples for S and O2 ,/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-01_AT-26-30_2015-03-08/Ship Data/,at26-30/ctd/process/at2630006a.cnv,water_samples/006OXY.xlsx,water_samples/006.SAL
Global_Argentine_Basin,AT-26-30,GA1,,7,2015-03-21T16:37:00,-42.93795,-42.49172,GA01SUMO,"CTD cast with PAR sensors in the vicinity of SUMO to validate mooring data; water samples for S, O2, pH, DIC/TA, nitrate, and chl.",/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-01_AT-26-30_2015-03-08/Ship Data/,at26-30/ctd/process/at2630007.cnv,water_samples/007OXY.xlsx,water_samples/007.SAL
Global_Argentine_Basin,NBP-15-10,GA2,,1,2015-11-10T18:06:00,-47.78467,-55.32467,Transit,"Testing acoustic releases; salt, O2, chlorophyll ",/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-02_NBP-15-10_2015-11-07/Ship Data/,NBP1510/ctd/process/nbp1510_001.cnv,CTD bottle data/001OXY.xlsx,CTD bottle data/001.SAL
Global_Argentine_Basin,NBP-15-10,GA2,,2,2015-11-11T11:59:00,-46.58833,-52.44433,Transit,Testing acoustic releases; No samples ,/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-02_NBP-15-10_2015-11-07/Ship Data/,NBP1510/ctd/process/nbp1510_002.cnv,no_samples,no_samples
Global_Argentine_Basin,NBP-15-10,GA2,,3,2015-11-11T16:27:00,-46.59667,-52.496,Transit,Testing acoustic releases; No samples ,/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-02_NBP-15-10_2015-11-07/Ship Data/,NBP1510/ctd/process/nbp1510_003.cnv,no_samples,no_samples
