Array,platform,deploymentNumber,Deployment,lat,lon,CUID,AM_Date,CTD_CruiseName,CTD_CruiseLeg,CTDcast,notes
Coastal_Pioneer,CP01CNPM,1,D00001,40.13921667,-70.77951667,AR-24,2017-11-06T14:55:00,Pioneer09,AR-24C,2,
Coastal_Pioneer,CP01CNPM,1,R00001,40.13921667,-70.77951667,AR-28,2018-04-12T12:53:00,Pioneer10,AR-28B,37,
Coastal_Pioneer,CP01CNSM,1,D00001,40.13678,-70.76978,KN-214,2013-11-21T18:15:00,Pioneer01,,"1, 2, 3, 4, 5, 11",
Coastal_Pioneer,CP01CNSM,1,R00001,40.13678,-70.76978,KN-217,2014-04-18T00:00:00,Pioneer02,,"6, 12",
Coastal_Pioneer,CP01CNSM,2,D00002,40.1339,-70.7789,KN-224,2014-12-13T18:47:00,Pioneer03_Leg2,,,
Coastal_Pioneer,CP01CNSM,2,R00002,40.1339,-70.7789,KN-224,2014-12-15T20:58:00,Pioneer03_Leg2,,,
Coastal_Pioneer,CP01CNSM,3,D00003,40.14022,-70.77128,AT-27,2015-05-07T17:34:00,Pioneer04,AT-27B,"2, 10",
Coastal_Pioneer,CP01CNSM,3,R00003,40.14022,-70.77128,AT-31,2015-10-23T19:40:00,Pioneer05,"AT-31B, AT-31C","4, 4",
Coastal_Pioneer,CP01CNSM,4,D00004,40.13323,-70.77843,AT-31,2015-10-23T18:49:00,Pioneer05,"AT-31B, AT-31C","4, 4",
Coastal_Pioneer,CP01CNSM,4,R00004,40.13323,-70.77843,AR1-07,2016-04-04T12:03:00,SVC-III,,1,
Coastal_Pioneer,CP01CNSM,5,D00005,40.14037,-70.77133,AR-04,2016-05-13T13:50:00,Pioneer06,"AR-04A, AR-04B, AR-04C","1, 9, 8",
Coastal_Pioneer,CP01CNSM,5,R00005,40.14037,-70.77133,AR-08B,2016-10-13T19:34:00,Pioneer07,"AR-08A, AR-08B","7, 7",
Coastal_Pioneer,CP01CNSM,6,D00006,40.13342,-70.77847,AR-08B,2016-10-13T18:36:00,Pioneer07,AR-08B,"7, 12",
Coastal_Pioneer,CP01CNSM,6,R00006,40.13342,-70.77847,AR-18,2017-06-09T16:05:00,Pioneer08,AR-18B,5,
Coastal_Pioneer,CP01CNSM,7,D00007,40.13981667,-70.77115,AR-18,2017-06-09T14:24:00,Pioneer08,"AR-18B, AR-18B, AR-18C","5, 9, 8",
Coastal_Pioneer,CP01CNSM,7,R00007,40.13981667,-70.77115,AR-24,2017-11-01T20:33:00,Pioneer09,"AR-24A, AR-24B, AR-24B","14, 7, 14",
Coastal_Pioneer,CP01CNSM,8,D00008,40.13338333,-70.7783,AR-24,2017-10-29T14:15:00,Pioneer09,AR-24B,7,
Coastal_Pioneer,CP01CNSM,8,R00008,40.13338333,-70.7783,AR-28,2018-03-29T19:37:00,Pioneer10,AR-28A,2,
Coastal_Pioneer,CP01CNSM,9,D00009,40.13975,-70.77128,AR-28,2018-03-24T21:32:00,Pioneer10,AR-28A,"2, 7",
Coastal_Pioneer,CP01CNSM,9,R00009,40.13975,-70.77128,,,,,,
Coastal_Pioneer,CP01CNSP,4,D00004,40.13408,-70.77013,SI-1507,2015-07-23T17:20:00,Pioneer04a,,2,
Coastal_Pioneer,CP01CNSP,4,R00004,40.13408,-70.77013,AT-31,2015-10-14T21:23:00,Pioneer05,,,
Coastal_Pioneer,CP02PMCI,1,D00001,40.22665,-70.88858,KN-217,2014-04-16T23:28:00,Pioneer02,,8,
Coastal_Pioneer,CP02PMCI,1,R00001,40.22665,-70.88858,KN-222,2014-10-10T12:02:00,Pioneer03_Leg1,,15,
