reference_designator,name,start_depth,end_depth,location
CE01ISSM-MFC31-00-CPMENG000,Platform Controller,25,25,
CE01ISSM-MFD35-00-DCLENG000,Data Concentrator Logger (DCL),25,25,
CE01ISSM-MFD35-01-VEL3DD000,3-D Single Point Velocity Meter,25,25,Multi-Function Node
CE01ISSM-MFD35-02-PRESFA000,Seafloor Pressure,25,25,Multi-Function Node
CE01ISSM-MFD35-04-ADCPTM000,Velocity Profiler (600kHz),25,25,Multi-Function Node
CE01ISSM-MFD35-05-PCO2WB000,pCO2 Water,25,25,Multi-Function Node
CE01ISSM-MFD35-06-PHSEND000,Seawater pH,25,25,Multi-Function Node
CE01ISSM-MFD37-00-DCLENG000,Data Concentrator Logger (DCL),25,25,
CE01ISSM-MFD37-01-OPTAAD000,Spectrophotometer,25,25,Multi-Function Node
CE01ISSM-MFD37-03-CTDBPC000,CTD,25,25,Multi-Function Node
CE01ISSM-MFD37-03-DOSTAD000,,,,Multi-Function Node
CE01ISSM-MFD37-06-CAMDSA000,Digital Still Camera,25,25,Multi-Function Node
CE01ISSM-MFD37-07-ZPLSCC000,Bio-acoustic Sonar (Coastal),25,25,Multi-Function Node
CE01ISSM-RID16-00-DCLENG000,Data Concentrator Logger (DCL),7,7,
CE01ISSM-RID16-01-OPTAAD000,Spectrophotometer,7,7,Near Surface Instrument Frame
CE01ISSM-RID16-02-FLORTD000,3-Wavelength Fluorometer,7,7,Near Surface Instrument Frame
CE01ISSM-RID16-03-CTDBPC000,CTD,7,7,Near Surface Instrument Frame
CE01ISSM-RID16-03-DOSTAD000,Dissolved Oxygen,7,7,Near Surface Instrument Frame
CE01ISSM-RID16-04-VELPTA000,Single Point Velocity Meter,7,7,Near Surface Instrument Frame
CE01ISSM-RID16-05-PCO2WB000,pCO2 Water,7,7,Near Surface Instrument Frame
CE01ISSM-RID16-06-PHSEND000,Seawater pH,7,7,Near Surface Instrument Frame
CE01ISSM-RID16-07-NUTNRB000,Nitrate,7,7,Near Surface Instrument Frame
CE01ISSM-RID16-08-SPKIRB000,Spectral Irradiance,7,7,Near Surface Instrument Frame
CE01ISSM-SBC11-00-CPMENG000,Platform Controller,0,0,
CE01ISSM-SBD17-00-DCLENG000,Data Concentrator Logger (DCL),0,0,
CE01ISSM-SBD17-01-MOPAK0000,3-Axis Motion Pack,0,0,"Buoy Well, center of Mass"
CE01ISSM-SBD17-04-VELPTA000,Single Point Velocity Meter,1,1,Bottom of Buoy
CE01ISSM-SBD17-06-CTDBPC000,,,,
CE01ISSM-SBD17-06-FLORTD000,,,,
CE01ISSP-SP001-00-SPPENG000,Profiler Controller,0,25,
CE01ISSP-SP001-02-DOSTAJ000,Dissolved Oxygen,0,25,Surface Piercing Profiler
