reference_designator,name
CE01ISSM-MFC31,Seafloor Multi-Function Node (MFN)
CE01ISSM-MFD35,Seafloor Multi-Function Node (MFN)
CE01ISSM-MFD37,Seafloor Multi-Function Node (MFN)
CE01ISSM-RID16,Near Surface Instrument Frame
CE01ISSM-SBC11,Surface Buoy
CE01ISSM-SBD17,Surface Buoy
CE01ISSP-SP001,Surface Piercing Profiler
CE02SHBP-LJ01D,Low-Power JBox (LJ01D)
CE02SHBP-MJ01C,Medium-Power JBox (MJ01C)
CE02SHSM-RIC21,Near Surface Instrument Frame
CE02SHSM-RID26,Near Surface Instrument Frame
CE02SHSM-RID27,Near Surface Instrument Frame
CE02SHSM-SBC11,Surface Buoy
CE02SHSM-SBD11,Surface Buoy
CE02SHSM-SBD12,Surface Buoy
CE02SHSP-SP001,Surface Piercing Profiler
CE04OSBP-LJ01C,Low-Power JBox (LJ01C)
CE04OSBP-LV01C,Low-Power JBox (LJ0CI)
CE04OSPD-DP01B,Wire-Following Profiler (DP01B)
CE04OSPD-PD01B,Profiler Docking Station (PD01B)
CE04OSPS-PC01B,200m Platform (PC01B)
CE04OSPS-SF01B,Winched Profiler (SF01B)
CE04OSSM-RIC21,Near Surface Instrument Frame
CE04OSSM-RID26,Near Surface Instrument Frame
CE04OSSM-RID27,Near Surface Instrument Frame
CE04OSSM-SBC11,Surface Buoy
CE04OSSM-SBD11,Surface Buoy
CE04OSSM-SBD12,Surface Buoy
CE05MOAS-GL247,Coastal Glider 247
CE05MOAS-GL311,Coastal Glider 311
CE05MOAS-GL312,Coastal Glider 312
CE05MOAS-GL319,Coastal Glider 319
CE05MOAS-GL320,Coastal Glider 320
CE05MOAS-GL326,Coastal Glider 326
CE05MOAS-GL327,Coastal Glider 327
CE05MOAS-GL381,Coastal Glider 381
CE05MOAS-GL382,Coastal Glider 382
CE05MOAS-GL383,Coastal Glider 383
CE05MOAS-GL384,Coastal Glider 384
CE05MOAS-GL386,Coastal Glider 386
CE06ISSM-MFC31,Seafloor Multi-Function Node (MFN)
CE06ISSM-MFD35,Seafloor Multi-Function Node (MFN)
CE06ISSM-MFD37,Seafloor Multi-Function Node (MFN)
CE06ISSM-RID16,Near Surface Instrument Frame
CE06ISSM-SBC11,Surface Buoy
CE06ISSM-SBD17,Surface Buoy
CE06ISSP-SP001,Surface Piercing Profiler
CE07SHSM-MFC31,Seafloor Multi-Function Node (MFN)
CE07SHSM-MFD35,Seafloor Multi-Function Node (MFN)
CE07SHSM-MFD37,Seafloor Multi-Function Node (MFN)
CE07SHSM-RIC21,Near Surface Instrument Frame
CE07SHSM-RID26,Near Surface Instrument Frame
CE07SHSM-RID27,Near Surface Instrument Frame
CE07SHSM-SBC11,Surface Buoy
CE07SHSM-SBD11,Surface Buoy
CE07SHSM-SBD12,Surface Buoy
CE07SHSP-SP001,Surface Piercing Profiler
CE09OSPM-SBS01,Surface Buoy
CE09OSPM-WFP01,Wire-Following Profiler
CE09OSSM-MFC31,Seafloor Multi-Function Node (MFN)
CE09OSSM-MFD35,Seafloor Multi-Function Node (MFN)
CE09OSSM-MFD37,Seafloor Multi-Function Node (MFN)
CE09OSSM-RIC21,Near Surface Instrument Frame
CE09OSSM-RID26,Near Surface Instrument Frame
CE09OSSM-RID27,Near Surface Instrument Frame
CE09OSSM-SBC11,Surface Buoy
CE09OSSM-SBD11,Surface Buoy
CE09OSSM-SBD12,Surface Buoy
CP01CNSM-MFC31,Seafloor Multi-Function Node (MFN)
CP01CNSM-MFD35,Seafloor Multi-Function Node (MFN)
CP01CNSM-MFD37,Seafloor Multi-Function Node (MFN)
CP01CNSM-RIC21,Near Surface Instrument Frame
CP01CNSM-RIC31,Near Surface Instrument Frame
CP01CNSM-RID26,Near Surface Instrument Frame
CP01CNSM-RID27,Near Surface Instrument Frame
CP01CNSM-SBC11,Surface Buoy
CP01CNSM-SBD11,Surface Buoy
CP01CNSM-SBD12,Surface Buoy
CP01CNSP-SP001,Surface Piercing Profiler
CP02PMCI-RII01,Mooring Line
CP02PMCI-SBS01,Surface Buoy
CP02PMCI-WFP01,Wire-Following Profiler
CP02PMCO-RII01,Mooring Line
CP02PMCO-SBS01,Surface Buoy
CP02PMCO-WFP01,Wire-Following Profiler
CP02PMUI-RII01,Mooring Line
CP02PMUI-SBS01,Surface Buoy
