reference_designator,array_name,name,description,min_depth,max_depth,longitude,latitude
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",0,25,,
CE01ISSP,Coastal Endurance,Oregon Inshore Surface Piercing Profiler Mooring,"A Surface-Piercing Profiler Mooring is a mooring that contains a surface-piercing profiler. The surface-piercing profiler allows for the sampling of near surface phenomena as the profiler travels through the water then breaches the surface. While on the surface, the profiler is able to transmit data to shore.",0,25,,
CE02SHBP,Coastal Endurance,Oregon Shelf Cabled Benthic Experiment Package,"The Benthic Experiment Package (BEP) is a type of cabled infrastructure, specifically deployed along the shallow continental shelf. BEPs are either connected to a Junction Box to receive power as well as transmit data and communications.",80,80,-124.305855,44.63699167
CE02SHSM,Coastal Endurance,Oregon Shelf Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",0,80,,
CE02SHSP,Coastal Endurance,Oregon Shelf Surface Piercing Profiler Mooring,"A Surface-Piercing Profiler Mooring is a mooring that contains a surface-piercing profiler. The surface-piercing profiler allows for the sampling of near surface phenomena as the profiler travels through the water then breaches the surface. While on the surface, the profiler is able to transmit data to shore.",0,80,-124.3054333,44.63732667
CE04OSBP,Coastal Endurance,Oregon Offshore Cabled Benthic Experiment Package,"The Benthic Experiment Package (BEP) is a type of cabled infrastructure, specifically deployed along the shallow continental shelf. BEPs are either connected to a Junction Box to receive power as well as transmit data and communications.",580,580,-124.9537367,44.36958667
CE04OSPD,Coastal Endurance,Oregon Offshore Cabled Deep Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",175,500,-124.9527517,44.36827667
CE04OSPI,Coastal Endurance,Oregon Offshore Cabled Primary Infrastructure,"Primary Nodes are connected to the land-based shore station in Pacific City, Oregon via fiber-optic cables. These nodes convert high power from the shore station to a lower power and distribute that power and communication to junction boxes along the Juan de Fuca Plate through their science ports. Primary Nodes also receive data and communications from the junction boxes which they transmit back to shore.",580,580,,
CE04OSPS,Coastal Endurance,Oregon Offshore Cabled Shallow Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",20,200,-124.95666,44.37413667
CE04OSSM,Coastal Endurance,Oregon Offshore Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",0,588,,
CE05MOAS,Coastal Endurance,Mobile Asset,"Gliders are buoyancy-driven mobile assets. They change their buoyancy by drawing in water through their nose making their front end heavy causing them to sink through the water. To float back up to the surface, they push the water out. Their wings provide lift allowing the gliders to move forward as they change depth. Due to their efficient design, with no need for propellors or an engine, gliders can be deployed for several months at a time.",0,1000,,
CE06ISSM,Coastal Endurance,Washington Inshore Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",0,29,,
CE06ISSP,Coastal Endurance,Washington Inshore Surface Piercing Profiler Mooring,"A Surface-Piercing Profiler Mooring is a mooring that contains a surface-piercing profiler. The surface-piercing profiler allows for the sampling of near surface phenomena as the profiler travels through the water then breaches the surface. While on the surface, the profiler is able to transmit data to shore.",0,29,,
CE07SHSM,Coastal Endurance,Washington Shelf Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",0,87,,
CE07SHSP,Coastal Endurance,Washington Shelf Surface Piercing Profiler Mooring,"A Surface-Piercing Profiler Mooring is a mooring that contains a surface-piercing profiler. The surface-piercing profiler allows for the sampling of near surface phenomena as the profiler travels through the water then breaches the surface. While on the surface, the profiler is able to transmit data to shore.",0,87,,
CE09OSPM,Coastal Endurance,Washington Offshore Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",0,544,,
CE09OSSM,Coastal Endurance,Washington Offshore Profiler Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",0,542,,
CP01CNSM,Coastal Pioneer,Central Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",0,133,,
CP01CNSP,Coastal Pioneer,Central Surface Piercing Profiler Mooring,"A Surface-Piercing Profiler Mooring is a mooring that contains a surface-piercing profiler. The surface-piercing profiler allows for the sampling of near surface phenomena as the profiler travels through the water then breaches the surface. While on the surface, the profiler is able to transmit data to shore.",0,100,,
CP02PMCI,Coastal Pioneer,Central Inshore Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",0,127,,
CP02PMCO,Coastal Pioneer,Central Offshore Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",0,148,,
CP02PMUI,Coastal Pioneer,Upstream Inshore Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",0,95,,
CP02PMUO,Coastal Pioneer,Upstream Offshore Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",0,452,,
CP03ISSM,Coastal Pioneer,Inshore Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",0,92,,
CP03ISSP,Coastal Pioneer,Inshore Surface Piercing Profiler Mooring,"A Surface-Piercing Profiler Mooring is a mooring that contains a surface-piercing profiler. The surface-piercing profiler allows for the sampling of near surface phenomena as the profiler travels through the water then breaches the surface. While on the surface, the profiler is able to transmit data to shore.",0,92,,
CP04OSPM,Coastal Pioneer,Offshore Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",0,453,,
CP04OSSM,Coastal Pioneer,Offshore Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",0,450,,
CP05MOAS,Coastal Pioneer,Mobile Assets,"Gliders are buoyancy-driven mobile assets. They change their buoyancy by drawing in water through their nose making their front end heavy causing them to sink through the water. To float back up to the surface, they push the water out. Their wings provide lift allowing the gliders to move forward as they change depth. Due to their efficient design, with no need for propellors or an engine, gliders can be deployed for several months at a time.",0,1000,,
GA01SUMO,Global Argentine Basin,Apex Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",0,5200,,
GA02HYPM,Global Argentine Basin,Apex Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",150,5200,,
GA03FLMA,Global Argentine Basin,Flanking Subsurface Mooring A,"Flanking Subsurface Moorings are located at global sites and contain instruments fixed at specific depths along the mooring riser. The flotation buoy for subsurface moorings is located below the sea surface. As they have no surface expression, these moorings communicate and send data to shore via an acoustic link to nearby gliders.",30,5200,,
GA03FLMB,Global Argentine Basin,Flanking Subsurface Mooring B,"Flanking Subsurface Moorings are located at global sites and contain instruments fixed at specific depths along the mooring riser. The flotation buoy for subsurface moorings is located below the sea surface. As they have no surface expression, these moorings communicate and send data to shore via an acoustic link to nearby gliders.",30,5200,,
GA05MOAS,Global Argentine Basin,Mobile Assets,"Gliders are buoyancy-driven mobile assets. They change their buoyancy by drawing in water through their nose making their front end heavy causing them to sink through the water. To float back up to the surface, they push the water out. Their wings provide lift allowing the gliders to move forward as they change depth. Due to their efficient design, with no need for propellors or an engine, gliders can be deployed for several months at a time.",0,1000,,
GI01SUMO,Global Irminger Sea,Apex Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",0,2800,,
GI02HYPM,Global Irminger Sea,Apex Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",150,2800,,
GI03FLMA,Global Irminger Sea,Flanking Subsurface Mooring A,"Flanking Subsurface Moorings are located at global sites and contain instruments fixed at specific depths along the mooring riser. The flotation buoy for subsurface moorings is located below the sea surface. As they have no surface expression, these moorings communicate and send data to shore via an acoustic link to nearby gliders.",30,2800,,
GI03FLMB,Global Irminger Sea,Flanking Subsurface Mooring B,"Flanking Subsurface Moorings are located at global sites and contain instruments fixed at specific depths along the mooring riser. The flotation buoy for subsurface moorings is located below the sea surface. As they have no surface expression, these moorings communicate and send data to shore via an acoustic link to nearby gliders.",30,2800,,
