reference_designator,method,stream
CE01ISSM-MFD35-01-VEL3DD000,recovered_inst,vel3d_cd_dcl_velocity_data_recovered
CE01ISSM-MFD35-02-PRESFA000,recovered_inst,presf_abc_tide_measurement_recovered
CE01ISSM-MFD35-02-PRESFA000,recovered_inst,presf_abc_wave_burst_recovered
CE01ISSM-MFD35-04-ADCPTM000,recovered_inst,adcp_velocity_earth
CE01ISSM-MFD35-04-ADCPTM000,recovered_inst,adcpt_m_instrument_dspec_recovered
CE01ISSM-MFD35-04-ADCPTM000,recovered_inst,adcpt_m_instrument_log9_recovered
CE01ISSM-MFD35-04-ADCPTM000,recovered_inst,adcpt_m_wvs_recovered
CE01ISSM-MFD35-05-PCO2WB000,recovered_inst,pco2w_abc_instrument
CE01ISSM-MFD35-05-PCO2WB000,recovered_inst,pco2w_abc_instrument_blank
CE01ISSM-MFD35-06-PHSEND000,recovered_inst,phsen_abcdef_instrument
CE01ISSM-MFD37-01-OPTAAD000,recovered_host,optaa_dj_dcl_instrument_recovered
CE01ISSM-MFD37-03-CTDBPC000,recovered_inst,ctdbp_cdef_instrument_recovered
CE01ISSM-MFD37-03-DOSTAD000,recovered_inst,dosta_abcdjm_ctdbp_instrument_recovered
CE01ISSM-MFD37-07-ZPLSCC000,telemetered,zplsc_c_instrument
CE01ISSM-RID16-01-OPTAAD000,recovered_host,optaa_dj_dcl_instrument_recovered
CE01ISSM-RID16-02-FLORTD000,recovered_host,flort_sample
CE01ISSM-RID16-03-CTDBPC000,recovered_inst,ctdbp_cdef_instrument_recovered
CE01ISSM-RID16-03-DOSTAD000,recovered_inst,dosta_abcdjm_ctdbp_instrument_recovered
CE01ISSM-RID16-04-VELPTA000,recovered_inst,velpt_ab_instrument_recovered
CE01ISSM-RID16-05-PCO2WB000,recovered_inst,pco2w_abc_instrument
CE01ISSM-RID16-05-PCO2WB000,recovered_inst,pco2w_abc_instrument_blank
CE01ISSM-RID16-06-PHSEND000,recovered_inst,phsen_abcdef_instrument
CE01ISSM-RID16-07-NUTNRB000,recovered_inst,nutnr_b_dark_instrument_recovered
CE01ISSM-RID16-07-NUTNRB000,recovered_inst,nutnr_b_instrument_recovered
CE01ISSM-RID16-08-SPKIRB000,recovered_host,spkir_abj_dcl_instrument_recovered
CE01ISSM-SBD17-04-VELPTA000,recovered_inst,velpt_ab_instrument_recovered
CE01ISSM-SBD17-06-CTDBPC000,telemetered,ctdbp_cdef_dcl_instrument
CE01ISSM-SBD17-06-FLORTD000,telemetered,flort_sample
CE01ISSP-SP001-02-DOSTAJ000,recovered_cspp,dosta_abcdjm_cspp_instrument_recovered
CE01ISSP-SP001-04-OPTAAJ000,recovered_cspp,optaa_dj_cspp_instrument_recovered
CE01ISSP-SP001-05-VELPTJ000,recovered_cspp,velpt_j_cspp_instrument_recovered
CE01ISSP-SP001-06-NUTNRJ000,recovered_cspp,nutnr_j_cspp_dark_instrument_recovered
CE01ISSP-SP001-06-NUTNRJ000,recovered_cspp,nutnr_j_cspp_instrument_recovered
CE01ISSP-SP001-07-SPKIRJ000,recovered_cspp,spkir_abj_cspp_instrument_recovered
CE01ISSP-SP001-08-FLORTJ000,recovered_cspp,flort_dj_cspp_instrument_recovered
CE01ISSP-SP001-09-CTDPFJ000,recovered_cspp,ctdpf_j_cspp_instrument_recovered
CE01ISSP-SP001-10-PARADJ000,recovered_cspp,parad_j_cspp_instrument_recovered
CE02SHBP-LJ01D-05-ADCPTB104,streamed,adcp_velocity_beam
CE02SHBP-LJ01D-06-CTDBPN106,streamed,ctdbp_no_sample
CE02SHBP-LJ01D-07-VEL3DC108,streamed,vel3d_cd_velocity_data
CE02SHBP-LJ01D-08-OPTAAD106,streamed,optaa_sample
CE02SHBP-LJ01D-09-PCO2WB103,streamed,pco2w_b_sami_data_record
CE02SHBP-LJ01D-09-PCO2WB103,streamed,pco2w_b_sami_data_record_cal
CE02SHBP-LJ01D-10-PHSEND103,streamed,phsen_data_record
CE02SHBP-MJ01C-07-ZPLSCB101,streamed,zplsc_echogram_data
CE02SHSM-RID26-01-ADCPTA000,recovered_inst,adcp_velocity_earth
CE02SHSM-RID26-04-VELPTA000,recovered_inst,velpt_ab_instrument_recovered
CE02SHSM-RID26-06-PHSEND000,recovered_inst,phsen_abcdef_instrument
CE02SHSM-RID26-07-NUTNRB000,recovered_inst,nutnr_b_dark_instrument_recovered
CE02SHSM-RID26-07-NUTNRB000,recovered_inst,nutnr_b_instrument_recovered
CE02SHSM-RID26-08-SPKIRB000,recovered_host,spkir_abj_dcl_instrument_recovered
CE02SHSM-RID27-01-OPTAAD000,recovered_host,optaa_dj_dcl_instrument_recovered
CE02SHSM-RID27-02-FLORTD000,recovered_host,flort_sample
CE02SHSM-RID27-03-CTDBPC000,recovered_inst,ctdbp_cdef_instrument_recovered
CE02SHSM-RID27-04-DOSTAD000,recovered_host,dosta_abcdjm_dcl_instrument_recovered
CE02SHSM-SBD11-04-VELPTA000,recovered_inst,velpt_ab_instrument_recovered
CE02SHSM-SBD11-06-METBKA000,recovered_host,metbk_a_dcl_instrument_recovered
CE02SHSM-SBD11-06-METBKA000,recovered_host,metbk_hourly
CE02SHSM-SBD12-04-PCO2AA000,recovered_host,pco2a_a_dcl_instrument_air_recovered
CE02SHSM-SBD12-04-PCO2AA000,recovered_host,pco2a_a_dcl_instrument_water_recovered
CE02SHSM-SBD12-05-WAVSSA000,recovered_host,wavss_a_dcl_fourier_recovered
CE02SHSM-SBD12-05-WAVSSA000,recovered_host,wavss_a_dcl_mean_directional_recovered
CE02SHSM-SBD12-05-WAVSSA000,recovered_host,wavss_a_dcl_motion_recovered
CE02SHSM-SBD12-05-WAVSSA000,recovered_host,wavss_a_dcl_non_directional_recovered
CE02SHSM-SBD12-05-WAVSSA000,recovered_host,wavss_a_dcl_statistics_recovered
CE02SHSM-SBD12-08-FDCHPA000,recovered_inst,fdchp_a_instrument_recovered
CE02SHSP-SP001-01-DOSTAJ000,recovered_cspp,dosta_abcdjm_cspp_instrument_recovered
CE02SHSP-SP001-02-VELPTJ000,recovered_cspp,velpt_j_cspp_instrument_recovered
CE02SHSP-SP001-04-OPTAAJ000,recovered_cspp,optaa_dj_cspp_instrument_recovered
CE02SHSP-SP001-05-NUTNRJ000,recovered_cspp,nutnr_j_cspp_dark_instrument_recovered
CE02SHSP-SP001-05-NUTNRJ000,recovered_cspp,nutnr_j_cspp_instrument_recovered
CE02SHSP-SP001-06-SPKIRJ000,recovered_cspp,spkir_abj_cspp_instrument_recovered
CE02SHSP-SP001-07-FLORTJ000,recovered_cspp,flort_dj_cspp_instrument_recovered
CE02SHSP-SP001-08-CTDPFJ000,recovered_cspp,ctdpf_j_cspp_instrument_recovered
CE02SHSP-SP001-09-PARADJ000,recovered_cspp,parad_j_cspp_instrument_recovered
CE02SHSP-SP002-01-DOSTAJ000,recovered_cspp,dosta_abcdjm_cspp_instrument_recovered
CE02SHSP-SP002-02-VELPTJ000,recovered_cspp,velpt_j_cspp_instrument_recovered
CE02SHSP-SP002-04-OPTAAJ000,recovered_cspp,optaa_dj_cspp_instrument_recovered
CE02SHSP-SP002-05-NUTNRJ000,recovered_cspp,nutnr_j_cspp_dark_instrument_recovered
CE02SHSP-SP002-05-NUTNRJ000,recovered_cspp,nutnr_j_cspp_instrument_recovered
CE02SHSP-SP002-06-SPKIRJ000,recovered_cspp,spkir_abj_cspp_instrument_recovered
CE02SHSP-SP002-07-FLORTJ000,recovered_cspp,flort_dj_cspp_instrument_recovered
CE02SHSP-SP002-08-CTDPFJ000,recovered_cspp,ctdpf_j_cspp_instrument_recovered
CE02SHSP-SP002-09-PARADJ000,recovered_cspp,parad_j_cspp_instrument_recovered
CE04OSBP-LJ01C-05-ADCPSI103,streamed,adcp_velocity_beam
CE04OSBP-LJ01C-06-CTDBPO108,streamed,ctdbp_no_sample
CE04OSBP-LJ01C-07-VEL3DC107,streamed,vel3d_cd_velocity_data
CE04OSBP-LJ01C-08-OPTAAC104,streamed,optaa_sample
CE04OSBP-LJ01C-09-PCO2WB104,streamed,pco2w_b_sami_data_record
CE04OSBP-LJ01C-09-PCO2WB104,streamed,pco2w_b_sami_data_record_cal
CE04OSBP-LJ01C-10-PHSEND107,streamed,phsen_data_record
CE04OSPD-DP01B-01-CTDPFL105,recovered_inst,dpc_ctd_instrument_recovered
CE04OSPD-DP01B-02-VEL3DA105,recovered_inst,dpc_acm_instrument_recovered
CE04OSPD-DP01B-04-FLNTUA103,recovered_inst,dpc_flnturtd_instrument_recovered
CE04OSPD-DP01B-06-DOSTAD105,recovered_inst,dpc_optode_instrument_recovered
CE04OSPS-PC01B-4A-CTDPFA109,streamed,ctdpf_optode_sample
CE04OSPS-PC01B-4B-PHSENA106,streamed,phsen_data_record
CE04OSPS-PC01B-4D-PCO2WA105,streamed,pco2w_a_sami_data_record
CE04OSPS-PC01B-4D-PCO2WA105,streamed,pco2w_a_sami_data_record_cal
CE04OSPS-SF01B-2A-CTDPFA107,streamed,ctdpf_sbe43_sample
CE04OSPS-SF01B-2B-PHSENA108,streamed,phsen_data_record
CE04OSPS-SF01B-3A-FLORTD104,streamed,flort_d_data_record
CE04OSPS-SF01B-3B-OPTAAD105,streamed,optaa_sample
CE04OSPS-SF01B-3C-PARADA102,streamed,parad_sa_sample
CE04OSPS-SF01B-3D-SPKIRA102,streamed,spkir_data_record
CE04OSPS-SF01B-4A-NUTNRA102,streamed,nutnr_a_dark_sample
CE04OSPS-SF01B-4A-NUTNRA102,streamed,nutnr_a_sample
CE04OSPS-SF01B-4B-VELPTD106,streamed,velpt_velocity_data
CE04OSPS-SF01B-4F-PCO2WA102,streamed,pco2w_a_sami_data_record
CE04OSPS-SF01B-4F-PCO2WA102,streamed,pco2w_a_sami_data_record_cal
CE04OSSM-RID26-01-ADCPTC000,recovered_inst,adcp_velocity_earth
CE04OSSM-RID26-04-VELPTA000,recovered_inst,velpt_ab_instrument_recovered
CE04OSSM-RID26-06-PHSEND000,recovered_inst,phsen_abcdef_instrument
CE04OSSM-RID26-07-NUTNRB000,recovered_inst,nutnr_b_dark_instrument_recovered
