reference_designator,name
CE01ISSM-MFD35,Multi-Function Node
CE01ISSM-MFD37,Multi-Function Node
CE01ISSM-RID16,Mooring Riser
CE01ISSM-SBD17,Surface Buoy
CE01ISSP-PL001,Surface Piercing Profiler
CE01ISSP-SP001,Surface Piercing Profiler
CE02SHBP-LJ01D,Low-Power JBox
CE02SHBP-MJ01C,Medium-Power Jbox
CE02SHSM-RID26,Mooring Riser
CE02SHSM-RID27,Mooring Riser
CE02SHSM-SBD11,Surface Buoy
CE02SHSM-SBD12,Surface Buoy
CE02SHSP-SP001,Surface Piercing Profiler
CE04OSBP-LJ01C,Low-Power JBox
CE04OSBP-LV01C,Low-Voltage Node
CE04OSPD-DP01B,Deep Profiler
CE04OSPS-PC01B,Platform Interface Controller
CE04OSPS-SF01B,Shallow Profiler
CE04OSSM-RID26,Mooring Riser
CE04OSSM-RID27,Mooring Riser
CE04OSSM-SBD11,Surface Buoy
CE04OSSM-SBD12,Surface Buoy
CE05MOAS-GL001,Coastal Glider 1
CE05MOAS-GL002,Coastal Glider 2
CE05MOAS-GL003,Coastal Glider 3
CE05MOAS-GL004,Coastal Glider 4
CE05MOAS-GL005,Coastal Glider 5
CE05MOAS-GL006,Coastal Glider 6
CE06ISSM-MFD35,Multi-Function Node
CE06ISSM-MFD37,Multi-Function Node
CE06ISSM-RID16,Mooring Riser
CE06ISSM-SBD17,Surface Buoy
CE06ISSP-PL001,Surface Piercing Profiler
CE06ISSP-SP001,Surface Piercing Profiler
CE07SHSM-MFD35,Multi-Function Node
CE07SHSM-MFD37,Multi-Function Node
CE07SHSM-RID26,Mooring Riser
CE07SHSM-RID27,Mooring Riser
CE07SHSM-SBD11,Surface Buoy
CE07SHSM-SBD12,Surface Buoy
CE07SHSP-PL001,Surface Piercing Profiler
CE07SHSP-SP001,Surface Piercing Profiler
CE09OSPM-WF001,Wire-Following Profiler
CE09OSSM-MFD35,Multi-Function Node
CE09OSSM-MFD37,Multi-Function Node
CE09OSSM-RID26,Mooring Riser
CE09OSSM-RID27,Mooring Riser
CE09OSSM-SBD11,Surface Buoy
CE09OSSM-SBD12,Surface Buoy
CP01CNSM-MFD35,Multi-Function Node
CP01CNSM-MFD37,Multi-Function Node
CP01CNSM-RID26,Mooring Riser
CP01CNSM-RID27,Mooring Riser
CP01CNSM-SBD11,Surface Buoy
CP01CNSM-SBD12,Surface Buoy
CP01CNSP-PL001,Surface Piercing Profiler
CP01CNSP-SP001,Surface Piercing Profiler
CP02PMCI-RII01,Mooring Riser
CP02PMCI-SBS01,Surface Buoy
CP02PMCI-WFP01,Wire-Following Profiler
CP02PMCO-RII01,Mooring Riser
CP02PMCO-SBS01,Surface Buoy
CP02PMCO-WFP01,Wire-Following Profiler
CP02PMUI-RII01,Mooring Riser
CP02PMUI-SBS01,Surface Buoy
CP02PMUI-WFP01,Wire-Following Profiler
CP02PMUO-RII01,Mooring Riser
CP02PMUO-SBS01,Surface Buoy
CP02PMUO-WFP01,Wire-Following Profiler
CP03ISSM-MFD35,Multi-Function Node
CP03ISSM-MFD37,Multi-Function Node
CP03ISSM-RID26,Mooring Riser
CP03ISSM-RID27,Mooring Riser
CP03ISSM-SBD11,Surface Buoy
CP03ISSM-SBD12,Surface Buoy
CP03ISSP-PL001,Surface Piercing Profiler
CP03ISSP-SP001,Surface Piercing Profiler
CP04OSPM-SBS11,Surface Buoy
CP04OSPM-WFP01,Wire-Following Profiler
CP04OSSM-MFD35,Multi-Function Node
CP04OSSM-MFD37,Multi-Function Node
CP04OSSM-RID26,Mooring Riser
CP04OSSM-RID27,Mooring Riser
CP04OSSM-SBD11,Surface Buoy
CP04OSSM-SBD12,Surface Buoy
CP05MOAS-AV001,AUV 1
CP05MOAS-AV002,AUV 2
CP05MOAS-GL001,Coastal Glider 1
CP05MOAS-GL002,Coastal Glider 2
CP05MOAS-GL003,Coastal Glider 3
CP05MOAS-GL004,Coastal Glider 4
CP05MOAS-GL005,Coastal Glider 5
CP05MOAS-GL006,Coastal Glider 6
GA01SUMO-RID16,Mooring Riser
GA01SUMO-RII11,Mooring Riser
GA01SUMO-SBD11,Surface Buoy
GA01SUMO-SBD12,Surface Buoy
GA02HYPM-MPM01,Mid-Water Platform
GA02HYPM-RIS01,Mooring Riser
GA02HYPM-WFP02,Wire-Following Profiler 1
GA02HYPM-WFP03,Wire-Following Profiler 2
GA03FLMA-RIM01,Mooring Riser
GA03FLMA-RIS01,Mooring Riser
GA03FLMB-RIM01,Mooring Riser
GA03FLMB-RIS01,Mooring Riser
GA05MOAS-GL001,Open Ocean Glider 1
GA05MOAS-GL002,Open Ocean Glider 2
GA05MOAS-GL003,Open Ocean Glider 3
GA05MOAS-PG001,Global Profiling Glider 1
GA05MOAS-PG002,Global Profiling Glider 2
GI01SUMO-RID16,Mooring Riser
GI01SUMO-RII11,Mooring Riser
GI01SUMO-SBD11,Surface Buoy
GI01SUMO-SBD12,Surface Buoy
GI02HYPM-MPM01,Mid-Water Platform
GI02HYPM-RIM01,Mooring Riser
GI02HYPM-WFP02,Wire-Following Profiler
GI03FLMA-RI000,Mooring Riser
GI03FLMA-RIM01,Mooring Riser
GI03FLMA-RIS01,Mooring Riser
GI03FLMB-RI000,Mooring Riser
GI03FLMB-RIM01,Mooring Riser
GI03FLMB-RIS01,Mooring Riser
GI05MOAS-GL001,Open Ocean Glider 1
GI05MOAS-GL002,Open Ocean Glider 2
GI05MOAS-GL003,Open Ocean Glider 3
GI05MOAS-PG001,Global Profiling Glider 1
GI05MOAS-PG002,Global Profiling Glider 2
GP02HYPM-MPM01,Mid-Water Platform
GP02HYPM-RIM01,Mooring Riser
GP02HYPM-WFP02,Wire-Following Profiler 1
GP02HYPM-WFP03,Wire-Following Profiler 2
GP03FLMA-RIM01,Mooring Riser
GP03FLMA-RIS01,Mooring Riser
GP03FLMB-RIM01,Mooring Riser
GP03FLMB-RIS01,Mooring Riser
GP05MOAS-GL001,Open Ocean Glider 1
GP05MOAS-GL002,Open Ocean Glider 2
GP05MOAS-GL003,Open Ocean Glider 3
GP05MOAS-PG001,Global Profiling Glider 1
GP05MOAS-PG002,Global Profiling Glider 2
GS01SUMO-RID16,Mooring Riser
GS01SUMO-RII11,Mooring Riser
GS01SUMO-SBD11,Surface Buoy
GS01SUMO-SBD12,Surface Buoy
GS02HYPM-MPM01,Mid-Water Platform
GS02HYPM-RIM01,Mooring Riser
GS02HYPM-WFP02,Wire-Following Profiler 1
GS02HYPM-WFP03,Wire-Following Profiler 2
GS03FLMA-RIM01,Mooring Riser
GS03FLMA-RIS01,Mooring Riser
GS03FLMB-RIM01,Mooring Riser
GS03FLMB-RIS01,Mooring Riser
GS05MOAS-GL001,Open Ocean Glider 1
GS05MOAS-GL002,Open Ocean Glider 2
GS05MOAS-GL003,Open Ocean Glider 3
