reference_designator,name,description,end_depth,longitude,latitude
CE01ISSM,OR Inshore Low-Power Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",,,
CE01ISSP,OR Inshore Surface-Piercing Profiler Mooring,"A Surface-Piercing Profiler Mooring is a mooring that contains a surface-piercing profiler. The surface-piercing profiler allows for the sampling of near surface phenomena as the profiler travels through the water then breaches the surface. While on the surface, the profiler is able to transmit data to shore.",,,
CE02SHBP,OR Shelf Cabled Benthic Experiment Package,"The Benthic Experiment Package (BEP) is a type of cabled infrastructure, specifically deployed along the shallow continental shelf. BEPs are either connected to a Junction Box to receive power as well as transmit data and communications.",79,-124.305855,44.63699167
CE02SHSM,OR Shelf Standard-Power Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",,,
CE02SHSP,OR Shelf Cabled Surface-Piercing Profiler Mooring,"A Surface-Piercing Profiler Mooring is a mooring that contains a surface-piercing profiler. The surface-piercing profiler allows for the sampling of near surface phenomena as the profiler travels through the water then breaches the surface. While on the surface, the profiler is able to transmit data to shore.",81,-124.3054333,44.63732667
CE04OOPI,OR Offshore Cabled Primary Node,"Primary Nodes are connected to the land-based shore station in Pacific City, Oregon via fiber-optic cables. These nodes convert high power from the shore station to a lower power and distribute that power and communication to junction boxes along the Juan de Fuca Plate through their science ports. Primary Nodes also receive data and communications from the junction boxes which they transmit back to shore.",,,
CE04OSBP,OR Offshore Cabled Benthic Experiment Package,"The Benthic Experiment Package (BEP) is a type of cabled infrastructure, specifically deployed along the shallow continental shelf. BEPs are either connected to a Junction Box to receive power as well as transmit data and communications.",579,-124.9537367,44.36958667
CE04OSPD,OR Offshore Cabled Deep Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",576,-124.9527517,44.36827667
CE04OSPI,OR Shelf Cabled Primary Node,"Primary Nodes are connected to the land-based shore station in Pacific City, Oregon via fiber-optic cables. These nodes convert high power from the shore station to a lower power and distribute that power and communication to junction boxes along the Juan de Fuca Plate through their science ports. Primary Nodes also receive data and communications from the junction boxes which they transmit back to shore.",,,
CE04OSPS,OR Offshore Cabled Shallow Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",196,-124.95666,44.37413667
CE04OSSM,OR Offshore Standard-Power Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",,,
